mol_idx,smiles,half-life
1,CCCCOC1=CC=C(C=C1)CC(=O)NO,30
2,COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC,30
3,COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3,30
4,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,30
5,CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCCCC5,30
6,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)O)S(=O)(=O)N3CCOCC3,30
7,COC1=CC(=CC(=C1O)OC)C2=NC(=C(N2)C3=CC=CS3)C4=CC=CC=C4,30
8,CN(C)C1=C2C(=C(SC2=NC=C1)C(=O)N)N,30
9,CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=NC=C3,30
10,C1=CC=C2C(=C1)C(=N)N(N=N2)C3=CC=C(C=C3)C(F)(F)F,30
11,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,30
12,C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)OC.[Br-],30
13,CCOC(=O)C1(CCN(CC1)C2CCN(CC2)C(C)C)CC3=CC=CC=C3C(F)(F)F,30
14,CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N,30
15,C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4,30
16,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O,30
17,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC(=CN=C3)Br)C(=O)C4=CC=CC=C4F,30
18,CC1=CC(=CC=C1)N2C=CC(=O)C(=N2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,30
19,C1CC1C(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O,30
20,CC(C)C(C(=O)O)NC(=O)CNC(=O)CO/N=C/1\CC[C@@]2(C3CC[C@]4(C(C3CCC2=C1)CCC4(C#C)O)C)C,30
21,C/C(=N\NC(=S)N)/C1=CCC2[C@@]1(CCC3C2CC[C@@H]4[C@@]3(CCC(C4)O)C)C,30
22,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)CCOC3=CC=C(C=C3)OC,30
23,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3,30
24,C1=CC=C(C=C1)C2=C(N3C(=C(C=N3)C4=CC=CC=C4)N=C2)N,30
25,CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4,30
26,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,30
27,C1CCC(=O)C2=CC(=C(C=C2C1)O)O,30
28,C1CN(CCC12CCN(CC2)C(=O)C3=CC(=CC=C3)F)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,30
29,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,30
30,C1=CC=C(C(=C1)C2=NC=CC(=N2)N3C=CN=C3)Cl,30
31,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N4CCC(CC4)C(=O)O,30
32,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,30
33,C[C@@H]1C[C@@H](C(NC1)[C@H](C)C2=C(C3=C(C=C2)[C@@H]4CC=C5C[C@H](CC[C@@]5([C@@H]4C3)C)O)C)O,30
34,C1=CC=C(C=C1)CSC[C@@H](C(=O)O)N,30
35,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)NCCO,30
36,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-],30
37,CC1(C=CC2=C3C(=C(C(=C2O1)CCC(=O)O)OC)C=CC(O3)(C)C)C,30
38,CC(=CCNC1=NC=NC2=C1NC=N2)C,30
39,CC1=NC(=NC2=CC=CC=C12)N,30
40,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)N)N,30
41,C1=CNC(=C1)C(=O)C2=C(C=CC(=C2)Cl)NC(=O)CN,30
42,C[C@@H](CCC[C@H]1[C@@H]2[C@@H](CS1)NC(=O)N2)C(=O)O,30
43,CN1CCC2=CC(=C3C4=C2[C@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@H]7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC,30
44,C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N,30
45,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,30
46,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,30
47,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,30
48,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O.Br,30
49,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,30
50,C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2,30
51,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,30
52,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,30
53,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,30
